HGNC ID	Approved symbol	Previous symbols	NCBI Gene ID
HGNC:5	A1BG		1
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	503538
HGNC:24086	A1CF		29974
HGNC:7	A2M		2
HGNC:27057	A2M-AS1		144571
HGNC:23336	A2ML1	CPAMD9	144568
HGNC:41022	A2ML1-AS1		
HGNC:41523	A2ML1-AS2		
HGNC:8	A2MP1	A2MP	3
HGNC:30005	A3GALT2	A3GALT2P	127550
HGNC:18149	A4GALT	P1	53947
HGNC:17968	A4GNT		51146
HGNC:13666	AAAS		8086
HGNC:21298	AACS		65985
HGNC:18226	AACSP1	AACSL	729522
HGNC:17	AADAC		13
HGNC:24427	AADACL2		344752
HGNC:50301	AADACL2-AS1		101928142
HGNC:32037	AADACL3		126767
HGNC:32038	AADACL4		343066
HGNC:50305	AADACP1		201651
HGNC:17929	AADAT		51166
HGNC:25662	AAGAB		79719
HGNC:19679	AAK1		22848
HGNC:30205	AAMDC	C11orf67	28971
HGNC:18	AAMP		14
HGNC:19	AANAT		15
HGNC:15886	AAR2	C20orf4	25980
HGNC:33842	AARD	C8orf85	441376
HGNC:20	AARS1	AARS	16
HGNC:49894	AARS1P1	AARSP1	106480683
HGNC:21022	AARS2	AARSL	57505
HGNC:28417	AARSD1		80755
HGNC:54994	AARSD1P1		
HGNC:23993	AASDH		132949
HGNC:14235	AASDHPPT		60496
HGNC:17366	AASS		10157
HGNC:51526	AATBC		284837
HGNC:19235	AATF		26574
HGNC:21	AATK		9625
HGNC:22	AAVS1		17
HGNC:49667	ABALON		103021294
HGNC:23	ABAT		18
HGNC:29	ABCA1	ABC1, HDLDT1	19
HGNC:32	ABCA2	ABC2	20
HGNC:33	ABCA3	ABC3	21
HGNC:55707	ABCA3P1		342293
HGNC:34	ABCA4	STGD1, ABCR, RP19, STGD	24
HGNC:35	ABCA5		23461
HGNC:36	ABCA6		23460
HGNC:37	ABCA7		10347
HGNC:38	ABCA8		10351
HGNC:39	ABCA9		10350
HGNC:39983	ABCA9-AS1		
HGNC:30	ABCA10		10349
HGNC:31	ABCA11P	ABCA11	79963
HGNC:14637	ABCA12	ICR2B	26154
HGNC:14638	ABCA13		154664
HGNC:34405	ABCA15P	NCRNA00169, CRYM-AS1	400508
HGNC:32972	ABCA17P		650655
HGNC:40	ABCB1	PGY1, MDR1, CLCS	5243
HGNC:45	ABCB4	PGY3, MDR3	5244
HGNC:46	ABCB5		340273
HGNC:47	ABCB6		10058
HGNC:48	ABCB7	ABC7	22
HGNC:49	ABCB8		11194
HGNC:50	ABCB9		23457
HGNC:41	ABCB10		23456
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	56476
HGNC:31129	ABCB10P3		728248
HGNC:31130	ABCB10P4		100132289
HGNC:42	ABCB11	BSEP, PFIC2	8647
HGNC:51	ABCC1	MRP, MRP1	4363
HGNC:53	ABCC2	CMOAT	1244
HGNC:54	ABCC3		8714
HGNC:55	ABCC4		10257
HGNC:56	ABCC5		10057
HGNC:40055	ABCC5-AS1		
HGNC:57	ABCC6	ARA, PXE	368
HGNC:33352	ABCC6P1		653190
HGNC:33353	ABCC6P2		730013
HGNC:59	ABCC8	SUR, HRINS	6833
HGNC:60	ABCC9		10060
HGNC:52	ABCC10		89845
HGNC:14639	ABCC11		85320
HGNC:14640	ABCC12		94160
HGNC:16022	ABCC13		150000
HGNC:61	ABCD1	ALD	215
HGNC:62	ABCD1P1		23785
HGNC:63	ABCD1P2		26983
HGNC:64	ABCD1P3		26982
HGNC:65	ABCD1P4		26957
HGNC:42662	ABCD1P5		642762
HGNC:66	ABCD2	ALDL1	225
HGNC:67	ABCD3	PXMP1	5825
HGNC:68	ABCD4	PXMP1L	5826
HGNC:69	ABCE1	RNASEL1, RNASELI, RNS4I	6059
HGNC:70	ABCF1	ABC50	23
HGNC:53628	ABCF1-DT		107986587
HGNC:71	ABCF2		10061
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BE1	114483834
HGNC:48841	ABCF2P1		344653
HGNC:48842	ABCF2P2		100422059
HGNC:72	ABCF3		55324
HGNC:73	ABCG1		9619
HGNC:74	ABCG2		9429
HGNC:13884	ABCG4		64137
HGNC:13886	ABCG5		64240
HGNC:13887	ABCG8		64241
HGNC:17553	ABHD1		84696
HGNC:18717	ABHD2		11057
HGNC:18718	ABHD3		171586
HGNC:20154	ABHD4		63874
HGNC:21396	ABHD5		51099
HGNC:21398	ABHD6		57406
HGNC:23759	ABHD8		79575
HGNC:25656	ABHD10		55347
HGNC:16407	ABHD11	WBSCR21	83451
HGNC:15868	ABHD12	C20orf22	26090
HGNC:19837	ABHD12B	C14orf29	145447
HGNC:20293	ABHD13	C13orf6	84945
HGNC:24538	ABHD14A		25864
HGNC:38856	ABHD14A-ACY1		100526760
HGNC:28235	ABHD14B		84836
HGNC:26971	ABHD15		116236
HGNC:49685	ABHD15-AS1		
HGNC:13921	ABHD16A	BAT5	7920
HGNC:16128	ABHD16B	C20orf135	140701
HGNC:28756	ABHD17A	C19orf27, FAM108A1	81926
HGNC:28394	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	728917
HGNC:34041	ABHD17AP3	FAM108A4, FAM108A4P	648359
HGNC:34042	ABHD17AP4	FAM108A5, FAM108A5P	729495
HGNC:34043	ABHD17AP5	FAM108A6, FAM108A6P	91219
HGNC:34044	ABHD17AP6	FAM108A7P	644988
HGNC:38508	ABHD17AP7	FAM108A8P	100133212
HGNC:38509	ABHD17AP8	FAM108A9P	647144
HGNC:38510	ABHD17AP9	FAM108A10P	100132251
HGNC:24278	ABHD17B	C9orf77, FAM108B1	51104
HGNC:26925	ABHD17C	FAM108C1	58489
HGNC:26111	ABHD18	C4orf29	80167
HGNC:11320	ABI1	SSH3BP1	10006
HGNC:20035	ABI1P1	SSH3BP1P, ABI1P	326268
HGNC:24011	ABI2		10152
HGNC:29859	ABI3		51225
HGNC:17265	ABI3BP		25890
HGNC:1364	ABITRAM	C9orf6, FAM206A	54942
HGNC:39851	ABITRAMP1	FAM206BP	390403
HGNC:76	ABL1	ABL	25
HGNC:77	ABL2	ABLL	27
HGNC:78	ABLIM1	LIMAB1, ABLIM	3983
HGNC:19195	ABLIM2		84448
HGNC:29132	ABLIM3		22885
HGNC:79	ABO		28
HGNC:81	ABR		29
HGNC:55674	ABR-AS1		105371479
HGNC:30655	ABRA		137735
HGNC:21230	ABRACL	C6orf115	58527
HGNC:25829	ABRAXAS1	CCDC98, FAM175A	84142
HGNC:56461	ABRAXAS1P1		100421580
HGNC:56462	ABRAXAS1P2		100133073
HGNC:28975	ABRAXAS2	KIAA0157, FAM175B	23172
HGNC:17369	ABT1		29777
HGNC:39557	ABT1P1		100420695
HGNC:18275	ABTB1		80325
HGNC:23842	ABTB2		25841
HGNC:23844	ABTB3	BTBD11	121551
HGNC:82	ACAA1		30
HGNC:83	ACAA2		10449
HGNC:55880	ACAA2P1		100420869
HGNC:84	ACACA	ACAC, ACC	31
HGNC:85	ACACB		32
HGNC:87	ACAD8		27034
HGNC:21497	ACAD9		28976
HGNC:56086	ACAD9-DT		123706524
HGNC:21597	ACAD10		80724
HGNC:30211	ACAD11		84129
HGNC:88	ACADL		33
HGNC:89	ACADM		34
HGNC:90	ACADS		35
HGNC:91	ACADSB		36
HGNC:92	ACADVL		37
HGNC:319	ACAN	MSK16, CSPG1, AGC1	176
HGNC:16467	ACAP1	CENTB1	9744
HGNC:16469	ACAP2	CENTB2	23527
HGNC:41426	ACAP2-IT1		
HGNC:16754	ACAP3	CENTB5	116983
HGNC:93	ACAT1	ACAT	38
HGNC:94	ACAT2		39
HGNC:15453	ACBD3	GOLPH1, GOCAP1	64746
HGNC:40701	ACBD3-AS1		107985353
HGNC:23337	ACBD4		79777
HGNC:23338	ACBD5		91452
HGNC:23339	ACBD6		84320
HGNC:17715	ACBD7		414149
HGNC:23989	ACCS		84680
HGNC:34391	ACCSL		390110
HGNC:56899	ACCSLP1		100422646
HGNC:25070	ACD		65057
HGNC:2707	ACE	DCP1	1636
HGNC:13557	ACE2		59272
HGNC:56255	ACE2-DT		104798195
HGNC:44365	ACE3P		100129123
HGNC:18356	ACER1	ASAH3	125981
HGNC:23675	ACER2	ASAH3L	340485
HGNC:54674	ACER2P1		645978
HGNC:16066	ACER3	PHCA	55331
HGNC:108	ACHE	YT	43
