HGNC ID	Approved Symbol
5	A1BG
37133	A1BG-AS1
24086	A1CF
7	A2M
27057	A2M-AS1
23336	A2ML1
41022	A2ML1-AS1
41523	A2ML1-AS2
8	A2MP1
30005	A3GALT2
18149	A4GALT
17968	A4GNT
13666	AAAS
21298	AACS
18226	AACSP1
17	AADAC
24427	AADACL2
50301	AADACL2-AS1
32037	AADACL3
32038	AADACL4
50305	AADACP1
17929	AADAT
16881	AAED1
25662	AAGAB
19679	AAK1
30205	AAMDC
18	AAMP
19	AANAT
15886	AAR2
33842	AARD
20	AARS
21022	AARS2
28417	AARSD1
49894	AARSP1
23993	AASDH
14235	AASDHPPT
17366	AASS
51526	AATBC
19235	AATF
21	AATK
40053	AATK-AS1
22	AAVS1
49667	ABALON
23	ABAT
29	ABCA1
32	ABCA2
33	ABCA3
34	ABCA4
35	ABCA5
36	ABCA6
37	ABCA7
38	ABCA8
39	ABCA9
39983	ABCA9-AS1
30	ABCA10
31	ABCA11P
14637	ABCA12
14638	ABCA13
32972	ABCA17P
40	ABCB1
45	ABCB4
46	ABCB5
47	ABCB6
48	ABCB7
49	ABCB8
50	ABCB9
41	ABCB10
14114	ABCB10P1
31129	ABCB10P3
31130	ABCB10P4
42	ABCB11
51	ABCC1
53	ABCC2
54	ABCC3
55	ABCC4
56	ABCC5
40055	ABCC5-AS1
57	ABCC6
33352	ABCC6P1
33353	ABCC6P2
59	ABCC8
60	ABCC9
52	ABCC10
14639	ABCC11
14640	ABCC12
16022	ABCC13
61	ABCD1
62	ABCD1P1
63	ABCD1P2
64	ABCD1P3
65	ABCD1P4
42662	ABCD1P5
66	ABCD2
67	ABCD3
68	ABCD4
69	ABCE1
70	ABCF1
71	ABCF2
48841	ABCF2P1
48842	ABCF2P2
72	ABCF3
73	ABCG1
74	ABCG2
13884	ABCG4
13886	ABCG5
13887	ABCG8
17553	ABHD1
18717	ABHD2
18718	ABHD3
20154	ABHD4
21396	ABHD5
21398	ABHD6
23759	ABHD8
25656	ABHD10
16407	ABHD11
18289	ABHD11-AS1
15868	ABHD12
19837	ABHD12B
20293	ABHD13
24538	ABHD14A
38856	ABHD14A-ACY1
28235	ABHD14B
26971	ABHD15
49685	ABHD15-AS1
13921	ABHD16A
16128	ABHD16B
28756	ABHD17A
28394	ABHD17AP1
34041	ABHD17AP3
34042	ABHD17AP4
34043	ABHD17AP5
34044	ABHD17AP6
38508	ABHD17AP7
38509	ABHD17AP8
38510	ABHD17AP9
24278	ABHD17B
26925	ABHD17C
26111	ABHD18
11320	ABI1
20035	ABI1P1
24011	ABI2
29859	ABI3
17265	ABI3BP
76	ABL1
77	ABL2
78	ABLIM1
19195	ABLIM2
29132	ABLIM3
79	ABO
81	ABR
30655	ABRA
21230	ABRACL
17369	ABT1
39557	ABT1P1
18275	ABTB1
23842	ABTB2
82	ACAA1
83	ACAA2
84	ACACA
85	ACACB
87	ACAD8
21497	ACAD9
21597	ACAD10
30211	ACAD11
88	ACADL
89	ACADM
90	ACADS
91	ACADSB
92	ACADVL
319	ACAN
16467	ACAP1
16469	ACAP2
41426	ACAP2-IT1
16754	ACAP3
93	ACAT1
94	ACAT2
15453	ACBD3
23337	ACBD4
23338	ACBD5
23339	ACBD6
17715	ACBD7
23989	ACCS
34391	ACCSL
25070	ACD
2707	ACE
13557	ACE2
