HGNC ID	Approved Symbol
HGNC:100	ASIC1
HGNC:1000	BCL5
HGNC:10000	RGS4
HGNC:10001	RGS5
HGNC:10002	RGS6
HGNC:10003	RGS7
HGNC:10004	RGS9
HGNC:10006	RHAG
HGNC:10007	RHBDL1
HGNC:10008	RHCE
HGNC:10009	RHD
HGNC:1001	BCL6
HGNC:10010	RHEBP1
HGNC:10011	RHEB
HGNC:10012	RHO
HGNC:10013	GRK1
HGNC:10015	RIEG2
HGNC:10017	RIT2
HGNC:10018	RING1
HGNC:10019	RIPK1
HGNC:1002	BCL6B
HGNC:10020	RIPK2
HGNC:10021	RIPK3
HGNC:10023	RIT1
HGNC:10024	RLBP1
HGNC:10025	RLF
HGNC:10026	RLN1
HGNC:10027	RLN2
HGNC:10030	RMD1
HGNC:10031	RMRP
HGNC:10034	RN5S1@
HGNC:10037	RN7SK
HGNC:10038	RN7SL1
HGNC:10039	RN7SL4P
HGNC:1004	BCL7A
HGNC:10040	RN7SL5P
HGNC:10041	RN7SL6P
HGNC:10042	RN7SL7P
HGNC:10043	RN7SL8P
HGNC:10044	RNASE1
HGNC:10045	RNASE2
HGNC:10046	RNASE3
HGNC:10047	RNASE4
HGNC:10048	RNASE6
HGNC:10049	RNASEH1P1
HGNC:1005	BCL7B
HGNC:10050	RNASEL
HGNC:10055	RNF10
HGNC:10056	RNF11
HGNC:10057	RNF13
HGNC:10058	RNF14
HGNC:10059	TRIM38
HGNC:1006	BCL7C
HGNC:10060	RNF17
HGNC:10061	RNF2
HGNC:10062	RNF20
HGNC:10063	TRIM34
HGNC:10064	TRIM3
HGNC:10065	TRIM39
HGNC:10066	PCGF3
HGNC:10067	RNF4
HGNC:10068	RNF5
HGNC:10069	RNF6
HGNC:1007	NBEAP1
HGNC:10070	RNF7
HGNC:10071	RNF8
HGNC:10072	TRIM10
HGNC:10073	RNGTT
HGNC:10074	RNH1
HGNC:10075	RNMT
HGNC:10078	RNPEP
HGNC:10079	RNPEPL1
HGNC:1008	BCL9
HGNC:10080	RNPS1
HGNC:10082	RNR1
HGNC:10083	RNR2
HGNC:10084	RNR3
HGNC:10085	RNR4
HGNC:10086	RNR5
HGNC:10096	SNORD80
HGNC:10097	SNORD4A
HGNC:10098	SNORD4B
HGNC:10099	SNORD102
HGNC:101	ASIC3
HGNC:10100	SNORD79
HGNC:10101	SNORD81
HGNC:10102	RNU105A
HGNC:10103	RNU105B
HGNC:10104	RNU105C
HGNC:10105	SNORD12C
HGNC:10106	SNORA63
HGNC:10107	SNORA62
HGNC:10108	RNU11
HGNC:10109	RNU12-2P
HGNC:10110	SNORD13P1
HGNC:10111	SNORD13P2
HGNC:10112	SNORD13P3
HGNC:10113	SNORD14A
HGNC:10114	SNORD15A
HGNC:10115	SNORA73A
HGNC:10116	SNORA73B
HGNC:10118	SNHG3
HGNC:10119	SNORA74A
HGNC:1012	OPN1SW
HGNC:10120	RNU1-1
HGNC:10123	RNU1-2
HGNC:10128	RNU1-4
HGNC:10130	RNU1-3
HGNC:10133	RNU1-10P
HGNC:10134	RNU1-12P
HGNC:10137	RNU1-11P
HGNC:10138	RNU1-13P
HGNC:10139	RNU1-14P
HGNC:1014	BCR
HGNC:10140	RNU1-15P
HGNC:10142	RNU2-1
HGNC:10143	SNORD20
HGNC:10144	SNORD21
HGNC:10145	SNORD22
HGNC:10146	SNORD24
HGNC:10147	SNORD25
HGNC:10148	SNORD26
HGNC:10149	SNORD27
HGNC:1015	BCRP2
HGNC:10150	SNORD28
HGNC:10151	SNORD29
HGNC:10152	RNU2-2
HGNC:10153	RNU2-3P
HGNC:10154	RNU2-4P
HGNC:10155	RNU2-5P
HGNC:10157	SNORD30
HGNC:10158	SNORD31
HGNC:10159	SNORD32A
HGNC:1016	BCRP3
HGNC:10160	SNORD33
HGNC:10161	SNORD34
HGNC:10162	SNORD35A
HGNC:10163	SNORD36A
HGNC:10164	SNORD36B
HGNC:10165	SNORD36C
HGNC:10166	SNORD37
HGNC:10168	SNORD3B-1
HGNC:1017	BCRP4
HGNC:10175	RNU3P1
HGNC:10176	RNU3P2
HGNC:10177	RNU3P3
HGNC:10178	RNU3P4
HGNC:10179	SNORD41
HGNC:1018	BCRP5
HGNC:10180	SNORD42A
HGNC:10181	SNORD42B
HGNC:10182	SNORD43
HGNC:10183	SNORD44
HGNC:10184	SNORD45A
HGNC:10185	SNORD45B
HGNC:10186	SNORD46
HGNC:10187	SNORD47
HGNC:10188	SNORD48
HGNC:10189	SNORD49A
HGNC:10192	RNU4-1
HGNC:10193	RNU4-2
HGNC:10194	RNU4-7P
HGNC:10195	RNU4-8P
HGNC:10196	RNU4-3P
HGNC:10197	RNU4-4P
HGNC:10198	RNU4-5P
HGNC:10199	RNU4-6P
HGNC:102	CNNM1
HGNC:1020	BCS1L
HGNC:10200	SNORD50A
HGNC:10201	SNORD51
HGNC:10202	SNORD52
HGNC:10203	SNORD53
HGNC:10204	SNORD54
HGNC:10205	SNORD55
HGNC:10206	SNORD56
HGNC:10207	SNORD57
HGNC:10208	SNORD58A
HGNC:10209	SNORD58B
HGNC:10210	SNORD59A
HGNC:10211	RNU5A-1
HGNC:10212	RNU5B-1
HGNC:10214	RNU5D-1
HGNC:10215	RNU5E-1
HGNC:10216	RNU5F-1
HGNC:10217	SNORD60
HGNC:10218	SNORD61
HGNC:10219	SNORD62A
HGNC:1022	BCYRN1
HGNC:10220	SNORD63
HGNC:10221	SNORA64
HGNC:10222	SNORA65
HGNC:10223	SNORA66
HGNC:10224	SNORA67
HGNC:10225	SNORA68
HGNC:10226	SNORA69
HGNC:10227	RNU6-1
HGNC:10228	RNU6-2
HGNC:10229	RNU6-50
HGNC:1023	BCYRN1P1
HGNC:10230	RNU6V
HGNC:10231	SNORA70
HGNC:10232	SNORA71A
HGNC:10233	SNORA71B
HGNC:10234	SNORA72
HGNC:10235	SNORD73A
HGNC:10236	RNU7-68P
HGNC:10237	RNU7-86P
HGNC:10239	RNU7-55P
HGNC:1024	BCYRN1P2
HGNC:10240	SNORD82
HGNC:10241	PHAX
HGNC:10242	RNY1
HGNC:10243	RNY3
HGNC:10244	RNY4
HGNC:10245	RNY4P1
HGNC:10246	RNY4P2
HGNC:10247	RNY4P3
HGNC:10248	RNY5
HGNC:10249	ROBO1
HGNC:10250	ROBO2
HGNC:10251	ROCK1
HGNC:10252	ROCK2
HGNC:10253	PTBP3
HGNC:10254	ROM1
HGNC:10256	ROR1
HGNC:10257	ROR2
HGNC:10258	RORA
HGNC:10259	RORB
HGNC:10260	RORC
HGNC:10261	ROS1
HGNC:10263	RP1
HGNC:1027	BDH1
HGNC:10274	RP2
HGNC:10276	RP22
HGNC:10278	RP24
HGNC:10282	RP29
HGNC:10286	RP6
HGNC:10288	RP9
HGNC:10289	RPA1
HGNC:1029	BDKRB1
HGNC:10290	RPA2
HGNC:10291	RPA3
HGNC:10293	RPE
HGNC:10294	RPE65
HGNC:10295	RPGR
HGNC:10296	RPH3AL
HGNC:10297	RPIA
HGNC:10298	RPL10
HGNC:10299	RPL10A
HGNC:103	CNNM2
HGNC:1030	BDKRB2
HGNC:10300	RPL10P1
HGNC:10301	RPL11
HGNC:10302	RPL12
HGNC:10303	RPL13
HGNC:10304	RPL13A
HGNC:10305	RPL14
HGNC:10306	RPL15
HGNC:10307	RPL17
HGNC:10310	RPL18
HGNC:10311	RPL18A
HGNC:10312	RPL19
HGNC:10313	RPL21
HGNC:10314	RPL21P1
HGNC:10315	RPL22
HGNC:10316	RPL23
HGNC:10317	RPL23A
HGNC:10318	RPL23AP1
HGNC:10319	RPL23AP2
HGNC:1032	BDMR
HGNC:10320	RPL23AP3
HGNC:10321	RPL23AP4
HGNC:10322	MRPL23
HGNC:10324	RPL23P2
HGNC:10325	RPL24
HGNC:10327	RPL26
HGNC:10328	RPL27
HGNC:10329	RPL27A
HGNC:1033	BDNF
HGNC:10330	RPL28
HGNC:10331	RPL29
